Row,Space,시군구명,시도명,레코드 수
18,2,동구,광주광역시,1
18,3,북구,광주광역시,1
18,4,서구,광주광역시,1
18,5,담양군,전라남도,1
18,6,구례군,전라남도,1
18,7,하동군,경상남도,1
18,8,창원시 마산회원구,경상남도,1
18,9,창원시 성산구,경상남도,1
18,10,강서구,부산광역시,1
18,11,서구,부산광역시,1
18,12,중구,부산광역시,1
18,13,금정구,부산광역시,1
18,14,기장군,부산광역시,1
19,1,신안군,전라남도,1
19,2,무안군,전라남도,1
19,3,남구,광주광역시,1
19,4,광산구,광주광역시,1
19,5,곡성군,전라남도,1
19,6,광양시,전라남도,1
19,7,사천시,경상남도,1
19,8,창원시 마산합포구,경상남도,1
19,9,창원시 진해구,경상남도,1
19,10,사상구,부산광역시,1
19,11,사하구,부산광역시,1
19,12,남구,부산광역시,1
19,13,해운대구,부산광역시,1
20,2,영암군,전라남도,1
20,3,나주시,전라남도,1
20,4,화순군,전라남도,1
20,5,보성군,전라남도,1
20,6,순천시,전라남도,1
20,7,고성군,경상남도,1
20,8,통영시,경상남도,1
20,9,거제시,경상남도,1
20,11,영도구,부산광역시,1
20,12,수영구,부산광역시,1
21,1,목포시,전라남도,1
21,2,해남군,전라남도,1
21,3,강진군,전라남도,1
21,4,장흥군,전라남도,1
21,5,고흥군,전라남도,1
21,6,여수시,전라남도,1
21,7,남해군,경상남도,1
22,1,진도군,전라남도,1
22,3,전라남도,전라남도,1
24,2,제주시,제주특별자치도,1
24,3,서귀포시,제주특별자치도,1
